timestamp,temp,wind_speed,clouds
2025-06-22 18:00:00,22.42,5.88,40
2025-06-22 21:00:00,20.77,4.39,47
2025-06-23 00:00:00,19.49,5.44,57
2025-06-23 03:00:00,17.19,6.0,97
2025-06-23 06:00:00,13.81,5.71,88
2025-06-23 09:00:00,17.98,6.14,11
2025-06-23 12:00:00,21.41,5.77,56
2025-06-23 15:00:00,23.33,6.57,6
2025-06-23 18:00:00,21.03,6.49,3
2025-06-23 21:00:00,16.92,4.93,10
2025-06-24 00:00:00,14.49,4.08,24
2025-06-24 03:00:00,14.22,4.2,71
2025-06-24 06:00:00,14.84,4.98,79
2025-06-24 09:00:00,18.05,5.56,99
2025-06-24 12:00:00,19.6,4.36,100
2025-06-24 15:00:00,24.16,6.04,100
2025-06-24 18:00:00,22.91,4.97,100
2025-06-24 21:00:00,19.85,4.1,25
2025-06-25 00:00:00,17.3,3.64,16
2025-06-25 03:00:00,15.82,2.86,2
2025-06-25 06:00:00,17.54,2.9,5
2025-06-25 09:00:00,23.37,2.37,9
2025-06-25 12:00:00,27.82,2.82,41
2025-06-25 15:00:00,28.37,5.1,94
2025-06-25 18:00:00,26.73,3.2,95
2025-06-25 21:00:00,22.5,2.51,48
2025-06-26 00:00:00,18.39,3.56,74
2025-06-26 03:00:00,17.18,3.61,100
2025-06-26 06:00:00,16.37,4.14,100
2025-06-26 09:00:00,19.4,6.02,81
2025-06-26 12:00:00,24.39,6.72,54
2025-06-26 15:00:00,24.14,6.66,75
2025-06-26 18:00:00,21.69,6.6,88
2025-06-26 21:00:00,16.93,4.92,100
2025-06-27 00:00:00,15.07,3.94,68
2025-06-27 03:00:00,14.01,3.16,2
2025-06-27 06:00:00,15.59,3.76,2
2025-06-27 09:00:00,21.19,5.11,7
2025-06-27 12:00:00,24.58,5.36,55
2025-06-27 15:00:00,27.97,5.31,25
